10
51
37, 52
49, 49
52, 64
20, 26
40, 30
21, 47
17, 63
31, 62
52, 33
51, 21
42, 41
31, 32
5, 25
12, 42
36, 16
52, 41
27, 23
17, 33
13, 13
57, 58
62, 42
42, 57
16, 57
8, 52
7, 38
27, 68
30, 48
43, 67
58, 48
58, 27
37, 69
38, 46
46, 10
61, 33
62, 63
63, 69
32, 22
45, 35
59, 15
5, 6
10, 17
21, 10
5, 64
30, 15
39, 10
32, 39
25, 32
25, 55
48, 28
56, 37
30, 40
76
22, 22
36, 26
21, 45
45, 35
55, 20
33, 34
50, 50
55, 45
26, 59
40, 66
55, 65
35, 51
62, 35
62, 57
62, 24
21, 36
33, 44
9, 56
62, 48
66, 14
44, 13
26, 13
11, 28
7, 43
17, 64
41, 46
55, 34
35, 16
52, 26
43, 26
31, 76
22, 53
26, 29
50, 40
55, 50
54, 10
60, 15
47, 66
30, 60
30, 50
12, 17
15, 14
16, 19
21, 48
50, 30
51, 42
50, 15
48, 21
12, 38
15, 56
29, 39
54, 38
55, 57
67, 41
10, 70
6, 25
65, 27
40, 60
70, 64
64, 4
36, 6
30, 20
20, 30
15, 5
50, 70
57, 72
45, 42
38, 33
50, 4
66, 8
59, 5
35, 60
27, 24
40, 20
40, 37
40, 40
100
1380, 939
2848, 96
3510, 1671
457, 334
3888, 666
984, 965
2721, 1482
1286, 525
2716, 1432
738, 1325
1251, 1832
2728, 1698
3815, 169
3683, 1533
1247, 1945
123, 862
1234, 1946
252, 1240
611, 673
2576, 1676
928, 1700
53, 857
1807, 1711
274, 1420
2574, 946
178, 24
2678, 1825
1795, 962
3384, 1498
3520, 1079
1256, 61
1424, 1728
3913, 192
3085, 1528
2573, 1969
463, 1670
3875, 598
298, 1513
3479, 821
2542, 236
3955, 1743
1323, 280
3447, 1830
2936, 337
1621, 1830
3373, 1646
1393, 1368
3874, 1318
938, 955
3022, 474
2482, 1183
3854, 923
376, 825
2519, 135
2945, 1622
953, 268
2628, 1479
2097, 981
890, 1846
2139, 1806
2421, 1007
2290, 1810
1115, 1052
2588, 302
327, 265
241, 341
1917, 687
2991, 792
2573, 599
19, 674
3911, 1673
872, 1559
2863, 558
929, 1766
839, 620
3893, 102
2178, 1619
3822, 899
378, 1048
1178, 100
2599, 901
3416, 143
2961, 1605
611, 1384
3113, 885
2597, 1830
2586, 1286
161, 906
1429, 134
742, 1025
1625, 1651
1187, 706
1787, 1009
22, 987
3640, 43
3756, 882
776, 392
1724, 1642
198, 1810
3950, 1558
150
37.4393516691, 541.2090699418
612.1759508571, 494.3166877396
38.1312338227, 353.1484581781
53.4418081065, 131.4849013650
143.0606355347, 631.7200953923
689.9451267256, 468.5354998742
112.7478815786, 529.4177578260
141.4875865042, 504.8184855710
661.0513901702, 445.9375182115
98.7899036592, 384.5926031158
697.3881696597, 180.3962284275
536.4894189738, 287.2279085051
192.4067320507, 20.4394059310
282.7865258765, 229.8001556189
240.8251726391, 281.5141437200
246.9281323057, 322.4613321160
649.7313216456, 62.3331575282
352.9658562600, 666.7873101942
633.3923676580, 534.9398453712
488.3117994040, 437.4869439948
141.4039286509, 228.4325551488
17.3632612602, 240.2407068508
397.5586451389, 231.3591208928
565.7853781464, 282.3858748974
475.8975387047, 468.5392706317
322.4224566559, 550.3165478233
397.5586634023, 74.7588387765
672.8618339396, 432.8826409630
571.2189680147, 530.2616991530
104.6531165914, 482.8224768783
356.7098388794, 67.6477131712
400.4070255527, 253.6794479997
282.3036243109, 426.8380500923
58.7766988363, 507.1712386832
189.7506224400, 460.3815233617
659.9124120147, 226.6284156239
639.0307636033, 467.2302300719
415.0258357432, 233.3045376118
547.2662016307, 161.6589278401
616.6547902644, 339.3409309407
494.8592427417, 148.1217856389
629.9980812186, 433.4548164038
471.1014312410, 314.2219307579
138.2440514421, 137.1679919735
91.5847556724, 110.0203007516
390.6972811808, 423.9774318385
565.1617825137, 429.1598152874
54.5248980387, 438.5515408431
334.3508329710, 153.7969238040
531.0291024509, 612.3874827889
475.7345905802, 385.7844618897
228.8325218994, 410.4461939615
578.3805347586, 321.3303494537
358.9170574485, 404.4670352898
486.4648554867, 593.0429937016
343.1693707670, 509.3123571315
530.3626972076, 137.6881275684
498.8065475299, 576.2102674608
224.3182715500, 312.4677490415
595.8360732590, 81.8130051356
661.5588724308, 217.0456944477
43.6892045516, 305.4722789165
79.4653452530, 445.9641737689
210.4163247004, 130.7151137038
432.2642292251, 629.4092661116
623.2487161301, 69.1892850840
436.5194739944, 282.9356456070
59.4163265482, 40.1280234442
630.9230074073, 230.3429888130
579.3265539688, 601.0359410602
117.8624507480, 112.9796833705
297.7912565664, 166.3131886803
22.7642703744, 455.5340094037
259.7095810385, 10.6199925885
342.3579873647, 599.3880182608
10.0260950143, 488.9310558282
315.2926064118, 273.2275475579
220.7044919297, 270.0819745721
192.1186059948, 314.1839922798
271.5042718992, 225.2921989972
530.7320005441, 504.0670155337
42.5331441666, 656.3645162886
396.1274792588, 539.4648066027
118.6631474021, 508.7129103929
395.6913876595, 699.5376048429
559.0157105844, 560.8866941411
22.6471035906, 526.2470392816
135.6377085256, 325.8409901555
